Date,Open,High,Low,Close,Volume,Market Cap
"Aug 12, 2020","11,404.60","11,748.40","11,249.61","11,584.93","25,064,548,486","213,846,666,475"
"Aug 11, 2020","11,881.65","11,932.71","11,195.71","11,410.53","27,039,782,640","210,616,121,945"
"Aug 10, 2020","11,662.26","12,045.14","11,662.26","11,878.11","26,114,112,569","219,235,405,395"
"Aug 09, 2020","11,737.33","11,806.06","11,548.78","11,675.74","17,489,608,833","215,490,364,255"
"Aug 08, 2020","11,604.55","11,800.06","11,558.43","11,754.05","17,572,057,837","216,924,147,851"
"Aug 07, 2020","11,778.89","11,898.04","11,408.59","11,601.47","23,132,312,867","214,097,928,027"
"Aug 06, 2020","11,749.87","11,902.34","11,598.71","11,779.77","23,400,740,340","217,377,233,001"
"Aug 05, 2020","11,203.82","11,786.62","11,158.29","11,747.02","24,411,254,471","216,761,492,406"
"Aug 04, 2020","11,246.20","11,385.38","11,094.15","11,205.89","21,250,197,042","206,767,135,617"
"Aug 03, 2020","11,043.77","11,453.08","11,012.41","11,246.35","20,271,713,443","207,503,423,456"
"Aug 02, 2020","11,758.76","12,034.14","11,018.13","11,053.61","27,410,067,336","203,936,136,730"
"Aug 01, 2020","11,322.57","11,794.78","11,239.68","11,759.59","26,075,670,303","216,950,669,098"
"Jul 31, 2020","11,110.21","11,415.86","10,987.05","11,323.47","23,160,469,766","208,895,308,529"
"Jul 30, 2020","11,099.83","11,169.36","10,895.46","11,111.21","22,857,247,901","204,969,047,788"
"Jul 29, 2020","10,912.95","11,304.40","10,856.14","11,100.47","24,617,249,715","204,761,455,133"
"Jul 28, 2020","11,017.46","11,204.33","10,632.63","10,912.82","28,766,551,142","201,290,022,193"
"Jul 27, 2020","9,905.22","11,298.22","9,903.97","10,990.87","35,359,749,590","202,719,581,737"
"Jul 26, 2020","9,680.23","10,023.81","9,652.85","9,905.17","20,507,998,997","182,685,328,095"
"Jul 25, 2020","9,539.49","9,704.56","9,530.21","9,677.11","16,610,070,933","178,469,614,078"
"Jul 24, 2020","9,585.51","9,623.34","9,481.45","9,536.89","16,552,768,325","175,875,016,548"
"Jul 23, 2020","9,527.14","9,610.25","9,483.00","9,581.07","18,146,399,002","176,680,237,480"
"Jul 22, 2020","9,375.08","9,530.52","9,319.65","9,525.36","16,532,254,884","175,644,844,408"
"Jul 21, 2020","9,162.51","9,407.26","9,149.39","9,374.89","18,069,581,956","172,861,732,402"
"Jul 20, 2020","9,187.22","9,214.27","9,137.51","9,164.23","13,755,604,146","168,970,262,859"
"Jul 19, 2020","9,158.01","9,201.40","9,097.63","9,185.82","12,939,002,784","169,360,219,986"
"Jul 18, 2020","9,151.18","9,230.98","9,100.82","9,159.04","12,252,601,475","168,858,972,269"
"Jul 17, 2020","9,131.81","9,182.25","9,089.20","9,151.39","13,944,570,749","168,710,427,574"
